experiment_name,retrieval_type,reranker_enabled,top_k,vector_weight,keyword_weight,recall_at_1,recall_at_3,recall_at_5,precision_at_5,reciprocal_rank,citation_accuracy,refusal_accuracy,answer_correctness,average_latency_ms,average_cost_usd
vector_only,vector,False,10,1.0,0.0,0.49295774647887325,0.6056338028169014,0.6338028169014085,0.21126760563380276,0.5590710932260228,0.49894366197183093,0.9014084507042254,0.7045796995439605,10900.645492957745,0.0006914514084507041
keyword_only,keyword,False,10,0.0,1.0,0.2676056338028169,0.4084507042253521,0.4788732394366197,0.11267605633802821,0.3617091437513973,0.4977867203219315,0.8169014084507042,0.4958754174152464,8388.52563380282,0.0005611246478873238
hybrid,hybrid,False,10,0.6,0.4,0.23943661971830985,0.4225352112676056,0.5492957746478874,0.16338028169014082,0.3650570087189805,0.5411971830985915,0.8732394366197183,0.6474682702544744,8278.536056338027,0.0006005767605633802
hybrid_reranker,hybrid,True,10,0.6,0.4,0.5774647887323944,0.6338028169014085,0.6338028169014085,0.1859154929577464,0.5985915492957746,0.5215962441314552,0.9154929577464789,0.6760175301247457,16876.214647887326,0.0005220781690140845
